stock,date,title,label
PTR,2012-02-14,Seven Hot Chinese Stocks; Top 4 Large-Cap Stocks In The Major Integrated Oil & Gas Industry With The Highest EPS,1
SNV,2011-09-06,Credit Suisse Upgrading Synovus Financial ; Credit Suisse Upgrades Synovus Financial To Outperform,0
CETV,2012-04-30,"Central European Media In Pact with Time Warner, Ronald Lauder; TWX Will Provide $300M Loan, TWX and RSL Will Buy 11.5M Shares at $7.51; CETV Files Up to $500M Class A Common Stock Shelf",1
FENG,2016-03-08,"Phoenix New Media Sees FY16 Rev. RMB$290M-$305M; Phoenix New Media Reports Q4 EPS $0.63 vs. Est. $0.44, Rev. $438M vs. Est. $373M; Earnings Scheduled For March 8, 2016",1
JWN,2017-10-27,"8 Stocks To Follow On JC Penney's Concerning Outlook; JC Penney Shares Down 19% Following Concerning Q3 Guidance; Other Retailers Moving Lower In Sympathy: Macy's Down 4%, Nordstrom Down 0.3%; Also Watch Kohl's, Target, Dillard's, Sears For Downside",1
NAV,2015-08-19,"Benzinga's Top Initiations; Macquarie Initiates Coverage on Navistar International at Neutral, Announces $19.00 PT",1
DG,2016-12-07,The BIG FIVE: Loop Capital Sees 2 Discount Retailers Standing Above The Rest; Benzinga's Top Initiations; Loop Capital Initiates Coverage On Dollar General at Hold,2
TOL,2011-11-15,"Homebuilders Are Holding Up, How Much Is Left In The Tank?; Toll Brothers Announces Retirement of Zvi Barzilay and Promotion of Richard T. Hartman to Chief Operating Officer",2
ADI,2012-02-23,"Sterne Agee Maintains Buy, $42 Target on Analog Devices; UPDATE: Deutsche Bank Raises Target on Analog Devices to $38; US Stock Futures Up; All Eyes On Jobless Claims Data; Stocks To Watch For February 23",1
EFX,2013-09-20,"UPDATE: Goldman Sachs Assumes Coverage on Equifax on Positive Growth Forecast; Goldman Sachs Initiates Coverage on Equifax, Inc. at Buy, Announces $70.00 PT",1
RSPP,2016-10-14,RSP Permian Rising Off Acquisition Of Silver Energy Partners; Benzinga's Volume Movers; 18 Stocks Moving In Friday's Pre-Market Session; 7 Stocks You Should Be Watching Today,2
AIMC,2017-07-25,"Altra Raises FY 2017 Guidance, Sees EPS $1.95-$2.05 from $1.83-$1.93 vs $1.93 Est., Sales $*50M-$865M from $840M-$855M vs $854M Est.; Altra Q2 EPS $0.57 vs $0.50 Est., Sales $223.36M vs $219.41M Est.",2
G,2014-11-11,"UPDATE: Markit | Genpact KYC Services Reports 600+ Buyside Firms Registered for Centralised Service; Markit, Genpact Announce JV Markit | Genpact KYC Services Named Jon May as CEO",1
AZN,2017-03-17,"Astrazeneca Receives CRL from FDA for ZS-9 for Hyperkalaemia; AstraZeneca, Circassia Enter Strategic Collaboration in Respiratory Disease; AstraZeneca to Receive $50M in Ordinary Shares of Circassia, Milestone Payments Up to $180M",1
GD,2017-09-22,"A Peek Into The Markets: U.S. Stock Futures Edge Lower Ahead Of Fed Speakers; 5 Stocks To Watch For September 22, 2017",1
BCOM,2017-02-27,Mid-Afternoon Market Update: Shutterstock Falls On Weak Q4 Results; La Jolla Pharma Shares Surge; Mid-Day Market Update: Gogo Surges After Strong Q4 Results; AmTrust Financial Shares Slide; Mid-Morning Market Update: Markets Edge Lower; Sotheby's Beats Q4 Views,1
SPB,2013-02-07,"Deutsche Bank Maintains Buy on Spectrum Brands Holdings, Inc., Raises PT to $60.00; UPDATE: Spectrum Brands Posts FQ1 Loss",1
TM,2016-04-04,"Toyota Motor Group Brake Manufacture Advics To Issue More Than $89M In New Shares To Fund New Production Equipment Purchases, Will Sell New Shares To Existing Shareholders; Disappointing March Auto Sales Spell Trouble For 2016 Targets; Autos React; Stocks Hitting 52-Week Lows",1
MKC,2013-09-27,"Wellington Shields Maintains Buy on McCormick & Company, Incorporated, Lowers PT to $77.00; UPDATE: Citigroup Lowers PT on McCormick & Company Following 3Q13 Results Report; Market Primer: Friday, September 27: US Budget Showdown Outweighs Positive Data",1
UFI,2016-07-27,"Unifi Sees FY17 Sales Growth in Low Single Digit Percentage Range, Operating Income, Adj. EBITDA Growth in Low Single Digit Percentage Range; Unifi Reports Q4 Adj. EBITDA $21.1M, EPS $0.56 vs $0.65 Est., Sales $163.858M vs $171.7M Est.",2
RUTH,2016-10-18,"18 Biggest Mid-Day Gainers For Tuesday; Benzinga's Top Upgrades; Raymond James Upgrades Ruth's Hospitality Group, Inc. - Common Stock to Outperform",1
AZN,2015-11-23,"Early Global News: Alibaba Startup Stake, Commercial Drones & Under Armour-Lululemon Rumor; Perrigo Reports Purchase of Entocort Capsules, Authorized Generic Capsules Marketed by Par Pharma from AstraZeneca for $380M",1
BPL,2012-02-13,"Fast Money Picks For February 14th; UPDATE: Citigroup Downgrades Buckeye Partners to Sell; Citigroup Downgrades Buckeye Partners from Neutral to Sell, Lowers PT from $66 to $58",0
COF,2010-04-23,"Financials Strong After Good Quarterly Numbers (AXP, COF, FII, XLF); Stock Market News for April 23, 2010 - Market News; RBC Capital Markets Raises Price Target And Estimates For Capital One Financial Corp. (COF)",0
TM,2010-07-06,"News Summary (LLY, TM); Toyota (TM) Knew About Engine Problem For Two Years",1
HALO,2013-02-01,"UPDATE: BMO Capital Markets Reiterates Outperform Rating, Lowers PT on Halozyme Therapeutics; BMO Capital Maintains Outperform on Halozyme Therapeutics, Inc., Lowers PT to $9.00",0
GD,2011-10-25,General Dynamics Awarded $367 Million to Produce Additional 177 Double-V-Hull Stryker Vehicles; General Dynamics Awarded $90 Million for Development of Advanced Submarine Technologies ,1
KEY,2012-07-19,US Stock Futures Up Ahead Of Morgan Stanley Earnings; Earnings Scheduled For July 19,1
SNV,2017-07-18,"Synovus Q2 EPS $0.60 vs $0.59 Est, Sales $319.8M vs $317.2M Est; Earnings Scheduled For July 18, 2017",1
PAG,2010-06-04,"Brian Kelly Is Bullish On PAG ; Top 5 Stocks In The Auto Dealerships Industry With The Highest Sales (AN, PAG, KMX, SAH, GPI)",1
AT,2013-03-01,"Mid-Afternoon Market Update: Markets Continue to Rise, Deckers Heads Skyward; Mid-Day Market Update: Stocks Erase Losses, Foster Wheeler Down On Downbeat Results; Desjardins Capital Downgraded Atlantic Power Corporation to Hold; Mid-Morning Market Update: Markets Go Red, Best Buy Results Beat Estimates; Atlantic Power Shares Plunge as Q4 Results Miss, Co. Slashes Dividend",2
WLH,2015-05-08,"William Lyon Homes Reports Q1 EPS $0.18 Vs Est $0.19, Sales $197.2M Vs Est $208.38M; Earnings Scheduled For May 8, 2015",0
G,2012-05-14,A Peek Into The Market Before The Trading Starts; Genpact to Acquire Atyati Technologies; Terms Not Disclosed  ,1
BIOA,2014-12-19,US Stock Futures Up Ahead Of Earnings; BioAmber Refinances $25M Loan,0
TM,2013-03-01,"Toyota February US Vehicle Sales 166,377; Toyota Reports Feb. US Vehicle Sales Up 4.3% to 166,377 Units",1
RUBI,2014-04-28,"Benzinga's Top Initiations; RBC Capital Initiates Coverage on Rubicon Project at Sector Perform, Announces $22.00 PT; Oppenheimer Initiates Coverage on Rubicon Project at Market Perform, Announces $19.00 PT; Morgan Stanley Initiates Coverage on Rubicon Project at Overweight, Announces $27.00 PT; Goldman Sachs Initiates Coverage on Rubicon Project at Neutral, Announces $21.00 PT",0
AEZS,2011-10-27,Aeterna Zentaris Chatter from Seeking Alpha Post; Aeterna Zentaris Spiking Higher on Takeover Chatter,1
JCI,2010-06-14,"Benzinga's After Hours Decliners (ELY, JCI, FIG) ; Calls Purchased on Johnson Controls (JCI)",1
AZN,2015-12-14,"M&A In Small-, Mid-Cap Biotechs Isn't Slowing Down; AstraZeneca Confirms Exploring Potential Strategic Options With Acerta Pharma; Must Watch Stocks for December 14, 2015",1
TM,2016-06-14,"Forget Electric Cars, Nissan Says It Will Have Ethanol-Based Fuel Cell Technology By 2020; SunPower Reports 7.75MW System Will Power New Toyota HQ",1
ACGL,2010-10-25,Arch Capital Group Reports Mixed Earnings (ACGL); Arch Capital Group Ltd. Reports Third Quarter Results; EPS $2.77   ,1
COF,2013-05-15,"George Soros Sold Out of GE, CF, Morgan Stanley, Capital One, JP Morgan, Opened Stakes in Red Hat, Brocade, Lowered Stakes in Apple, AIG, C, Raised Stakes in US Airways, Google; Dan Loeb's Third Point Reporting it has Liquidated its 900K Share Stake in Capital One Financial",1
AZN,2015-11-16,Diplomat to Dispense AstraZeneca Drug TAGRISSO(TM) (osimertinib); Benzinga's Volume Movers,2
TM,2014-12-16,"Fast Money Picks For December 16: Intersil, Toyota, Deckers Outdoor, Coca-Cola; Top 4 NYSE Stocks In The Auto Manufacturers-Major Industry With The Highest ROI",1
DKS,2012-06-27,"UPDATE: Dick's Sporting Says Some Suppliers are Not Selling to Amazon, Has Products That Amazon Doesn't, Positioned to Compete on the Internet; UPDATE: Dick's Sporting Says Not Constrained Financially for Growth; Dick's Sporting Goods Reiterates Forecast on Q2, 2012; Sees 10% Operating Margin Over Next 3 Years",1
GD,2010-01-27,"US Stock Futures Point To Bleak Markets Today; January 27 Earnings Roundup For Companies Reporting Before The Bell (BA, CAT, UTX, ABT, BLK, COP, GD, SAP, UAUA, VLO)",0
GWPH,2013-10-15,UPDATE: GW Pharmaceuticals Spike May be Attributed to Article Posted in Medical Jane Monday: 'Cannabinoids May Combine To Effectively Treat Cancer'; GW Pharmaceuticals Shares Moving Higher; May be Attributed to Abstract in Anticancer Research,1
AVA,2015-10-19,UPDATE: Avista Says If Approved The Settlement Agreement Will Increase Annual Electric Base; Avista Reaches Settlement in Idaho Electric and Natural Gas Rate Requests,1
WAT,2017-05-01,"Benzinga's Top Upgrades, Downgrades For May 1, 2017; Janney Capital Upgrades Waters to Buy",1
RLJ,2017-09-06,UPDATE: Land And Buildings Says 'RLJ Should Simultaneously Run a Process to Evaluate Strategic Alternatives to Seek Interest from Potential Buyers'; UPDATE: Land And Buildings Says 'RLJ Should Immediately Provide a Comprehensive Plan Outlining How the Combined Company Will Achieve a Valuation that is Materially Better than the All-Cash Offer It Rejected at ~25% Above Its Current Share Price'; UPDATE: Land And Buildings Says 'Engagement with the RLJ Management Team Has Been Disappointing'; UPDATE: Land And Buildings Letter To RLJ Holders Urges Mgmt. 'to Provide Clarity on Strategy Following Merger and to Evaluate Strategic Alternatives'; Land And Buildings Issues Open Letter To RLJ Lodging Trust Holders,2
KEY,2016-02-05,"UBS Upgrades KeyCorp To Buy, Firm Draws 'Line In The Sand'; Benzinga's Top Upgrades; UBS Upgrades KeyCorp to Buy",0
RLGT,2013-02-11,"Radiant Logistics, Inc. Sees Q3 Sales $80.0M vs $79.0M Est; Withdrawing FY Outlook, Cites Sandy, Non-Recuring Items; Radiant Logistics, Inc. Reports Q2 EPS of $0.03 vs $0.02 Est; Revenue of $78.20M vs $82.70M Est",0
CCIH,2014-06-19,Mid-Afternoon Market Update: Kroger Surges On Upbeat Results; Pier 1 Shares Slide; Mid-Day Market Update: Kroger Surges On Upbeat Results; Pier 1 Shares Slide,1
HALO,2015-01-12,"Biotechs Presenting At The J.P. Morgan Healthcare Conference: Day 2; Halozyme Reports Update on Anticipated Milestones: Currently Evaluating, Advancing Investigational PEGPH20; Expecting FY Sales $85-$95M",2
ACC,2015-10-28,"Benzinga's Top Upgrades; Baird Upgrades American Campus to Outperform, Raises PT to $45.00",1
AT,2014-09-16,"Midday Losers From September 16 - VirnetX Holding Corporation, Majesco Entertainment Co. And More; Morning Market Losers ; Atlantic Power Reports Update for Outcome of Strategic Review: Sees Sale, Merger as Not in Best Interest of Co., Cuts Annual Dividend from C$0.40 to C$0.12/Share, Announces Pres, CEO Transition Following Barry Welch Resignation",0
ETN,2011-04-27,George S. Barrett Elected to Eaton's Board of Directors; Three Directors Re-Elected; Ernie Green Retires from the Board; Eaton Quarterly Dividend Of $0.34,1
GD,2015-02-09,General Dynamics Spikes Following 10 Million Share Buyback Plan; General Dynamics Authorizes Share Repurchase Up To 10M Shares; JP Morgan's Rod Hall Not Surprised By Motorola Solutions Sale,1
SNY,2010-11-29,Neutral on Regeneron - Analyst Blog; Perrigo and Synthon Announce FDA Final Approval of Generic Xyzal; Neutral on Regeneron - Analyst Blog,1
MTOR,2012-09-19,A Peek Into The Market Before The Trading Starts; Meritor Announces Additional $16M Investment in European Brakes Operations ,1
AEZS,2013-11-20,Stocks Hitting 52-Week Lows; Morning Market Losers ; Aeterna Zentaris Prices 13.1M Unit Offering at $1.15/Unit,0
RGS,2012-07-16,A Peek Into The Market Before The Trading Starts; Regis Announces Sale of Hair Club for Men and Women for $163.5 Million   ,2
MDCO,2014-12-11,"Alnylam, The Medicines Company Announce Initiation Of Phase 1 Clinical Trial For ALN-PCSsc; Alnylam, The Medicines Co. Report Initiation of Phase 1 Trial for ALN-PCSsc, Earns $10M Milestone from The Medicines Co.",0
NAV,2017-09-13,"UPDATE: Navistar's Clarke At Industrials Conference: Pace Of US Heavy-Duty Class 8 Truck Orders Should Continue Into 2018; Navistar Chair, CEO Troy Clarke At RBC's Global Industrials Conference: Sees FY18 Being Better Than FY17 For US Truck Orders",2
AZN,2017-03-03,"Exclusive: CBMG CEO Talks Stem-Cell Therapies, Cancer Treatments, Financials & The Chinese Market; Sanofi Pasteur, MedImmune Collaborate on Monoclonal Antibody to Prevent Illnesses Associated with RSV; Sanofi Pasteur to Make Upfront Payment of €120M, Pay up to €495M upon Achievement of Certain Milestones",1
BPI,2011-07-21,Blueshift Ideas Seeing Some Positives On Bridgepoint Education; Stocks to Watch for Thursday 7/21/2011: Fresh 52 Week Highs and Lows,1
AZN,2016-04-18,"The Market In 5 Minutes: Brazil, Doha, And Earnings Season; Medivation Ticks Up 3%, AstraZeneca Said To Be Also Interested In Acquisition; 10 Stocks Moving In Monday's Pre-Market Session",2
PRGS,2016-01-13,Progress Software Spikes to High of $24.47 on Volume; 5 Stocks You Should Be Watching Today,1
JCI,2014-10-13,"Stocks Hitting 52-Week Lows; Benzinga's Top Downgrades; RBC Capital Downgrades Johnson Controls To Outperform; RBC Capital Downgrades Johnson Controls, Inc. to Outperform, Lowers PT to $49.00",1
TX,2012-04-23,"UPDATE: Goldman Sachs Lowers Ternium's PT; Goldman Sachs Maintains Ternium at Buy, Lowers PT from $29 to $27.5",1
EFX,2015-03-26,US Stock Futures Tumble Ahead Of Jobless Claims Report; Equifax Announces Partnership with the St. Louis Cardinals,1
JCI,2010-07-26,J.P. Morgan Lowers Price Target on Johnson Controls (JCI); The Biggest Companies You’ve Never Heard Of…And What They Do,1
G,2012-07-30,"Benzinga'a M&A Chatter for  Monday July 30, 2012; Genpact Spokesperson Declines Comment on Report of Bain Capital Taking 40% Stake; From Earlier: Bain Capital May Announce Agreement for $1.6B Genpact Stake",1
AVY,2014-05-30,"Benzinga's Top Upgrades; JP Morgan Upgrades Avery Dennison Corporation to Overweight, Raises PT to $58.00",1
ACC,2013-07-22,"Benzinga's Top Upgrades; UPDATE: MLV & Co. Upgrades American Campus Communities on Positive Outlook; McNicoll Lewis Vlak Upgrades American Campus Communities Inc to Buy, Announces $50.00 PT",1
CNX,2013-11-18,UPDATE: Citigroup Downgrades CONSOL Energy on Lower Estimates on Thermal Coal Sale and Weaker Met; Citigroup Downgrades CONSOL Energy Inc. to Neutral,0
WAT,2015-08-27,"Benzinga's Top Initiations; Cantor Fitzgerald Initiates Coverage on Waters at Buy, Announces $163.00 PT",2
TM,2012-02-14,Earnings Preview: General Motors; Amazon Creates American Jobs Selling Chinese Goods,1
AVA,2016-02-24,"Avista Sees FY16 EPS $1.96-$2.16 vs. Est. $2.04; Avista Corp. Reports Q4 EPS $0.61 vs. Est. $0.59, Rev. $387.3M vs. Est. $632.65M May Not Compare; Avista Q4 EPS $0.61 vs $0.59 est, Revenue $387.3M",2
WLH,2014-11-07,"William Lyon Homes Reports Q3 EPS of $0.31 vs $0.22 Est; Revenue of $206.90M vs $241.32M Est; Earnings Scheduled For November 7, 2014",1
COF,2017-05-17,"UPDATE: Height Says Combo of 'lower used car auction prices, weakening credit quality will manifest in the operations of auto finance cos. with subprime lending concentrations, including Credit Acceptance Corp, Santander Consumer, Ally, Capital One; Height Securities Highlights Data from Black Book's Market Insights as Suggesting the Spring Selling Season for Autos Has Ended; Used Car Prices Down 20% YoY, Pricing is Pressuring Bank Recovery Rates",1
GWPH,2016-10-07,"GW Pharma Set To Fly High: Goldman Sachs Starts Coverage At Buy, Sees 42% Upside; The Market In 5 Minutes: Unemployment Rate A Tick Higher; 18 Stocks Moving In Friday's Pre-Market Session; GW Pharmaceuticals +4.3% Premarket @$138.90; Goldman Sachs Initiated With Buy, $189PT",0
RST,2011-01-10,Bearish MACD for Rosetta Stone - Tale of the Tape; Bearish MACD for Rosetta Stone - Tale of the Tape,1
TAC,2012-03-02,"TransAlta Reports Q4 EPS of $0.13, May Not Be Comparable to $0.25 Est ; Revenues $701M vs $750M; US Stock Futures Down; Crude Oil Drops; Earnings Scheduled For March 2",1
PCH,2014-07-24,"Benzinga's Top Downgrades; DA Davidson Downgrades Potlatch To Neutral; DA Davidson Downgrades Potlatch Corporation to Neutral, Lowers PT to $45.00",2
AVY,2011-06-07,A Peek Into The Market Before The Trading Starts; Avery Dennison Medical Solutions and Proteus Biomedical Launch Partnership ,0
JCI,2010-01-22,"Johnson Controls Inc. (JCI) Looks Good; Company News for January 22, 2010 - Corporate Summary; Benzinga’s Earnings Roundup (GE, BBT, APD, SLB, STI, JCI, HBAN, KMB, HOG)",0
COF,2017-07-20,"Capital One Reports Q2 EPS $1.94 vs. $1.90 Est., Sales $6.7B vs. $6.67B; Earnings Scheduled For July 20, 2017",1
EGO,2017-10-23,Monday's Biggest Mover: SenesTech's Stock Lifted More Than 80%; Mid-Afternoon Market Update: Exactech Surges Following Acquisition News; Eldorado Gold Shares Drop; 32 Stocks Moving In Monday's Mid-Day Session; Hearing Credit Suisse Downgrades Shares Of Eldorado Gold; Eldorado Gold Lowers Production Guidance for its Kisladag Operation,0
WAT,2012-07-25,"Barclays Maintains Waters at Overweight, Lowers PT from $92 to $90; UBS Maintains Waters at Neutral, Lowers PT from $90 to $84; Morgan Stanley Maintains Waters at Overweight, Lowers PT from $92 to $89; Jefferies & Company Maintains Waters at Hold, Lowers PT from $94 to $88",1
CNX,2016-09-26,Mid-Afternoon Market Update: Dow Falls 150 Points; Himax Technologies Shares Slide After Nomura Downgrade; How Is Winter Shaping Up For Natural Gas Stocks?,2
CNX,2010-12-01,Neutral on Peabody Energy - Analyst Blog; Neutral on Peabody Energy - Analyst Blog,1
