stock,date,title,label
OMED,2017-05-08,20 Stocks Moving In Monday's Pre-Market Session,2
NRG,2017-11-02,"NRG Energy Reports Q3 EPS $0.53 vs. $1.27 In Same Qtr. Last Year, Sales $3.05M vs. $3.42M YoY",1
AZN,2014-05-19,UPDATE: AsraZeneca's Johansson Sees No Prospect of Pfizer Deal Before May 26 Deadline or Extension of Deadline,1
MDCO,2017-02-03,Benzinga's Option Alert Recap From February 3,2
HDP,2016-10-14,Benzinga's Top Downgrades,0
PRGS,2013-06-26,Progress Software Jumps on Q2 Results (PRGS),1
DPW,2017-03-15,Mid-Day Market Update: FTD Companies Drops After Q4 Results; Cesca Therapeutics Shares Surge,0
DKS,2010-03-09,Dick's Sporting Goods (DKS) Reports $67.4 Million Net Income,1
PNNT,2012-11-19,Robert W. Baird Downgraded Pennant Investment from Outperform to Neutral,1
SPB,2013-01-07,"UPDATE: Deutsche Bank Reinstates Coverage on Spectrum Brands Holdings with Buy Rating, $55 PT",2
DKS,2016-09-29,Dick's Shares Down 4% Over Last Two Sessions; Oppenheimer Says Buy The Dip,0
SBGL,2016-07-01,EARLIER: Macquarie Upgrades Sibanye Gold to Neutral,1
SNY,2011-01-10,"Genzyme Rises On Deal Talk (GENZ, SNY)",1
ASR,2010-11-22,Case for U.S. Infrastructure Investing,2
TM,2010-02-19,"Honda (HMC) Passes Toyota (TM), Tops U.S. Auto Sales",1
NRG,2017-02-06,Watch These 8 Huge Call Purchases In Monday Trade,0
RENN,2013-03-28,Renren to Increase Scale of Android Game Development -Marbridge,0
JCI,2012-04-20,Earnings Scheduled For April 20,1
LUB,2016-07-07,"UPDATE: Luby's Reports EPS -$0.01 Down From $0.09 Q3 2015, Sales $86.5M Down 1.5% YoY",1
DG,2012-06-05,Dollar General Falls After Reporting 25 Million Secondary Offering,1
DG,2015-05-26,Goldman Sachs Upgrades Dollar General To Conviction Buy,0
AZN,2012-11-12,AstraZeneca Announces Positive Phase III Results from Naloxegol Pivotal Trials In Patients With Opioid-Induced Constipation ,1
IVZ,2016-10-11,"Invesco Reports Sept. AUM Of $820.2B, Down 0.1% Sequentially",0
DG,2014-06-04,"#PreMarket Primer: Wednesday, June 4: Iran Deal Not Likely To Meet July 20 Deadline",1
DG,2017-07-25,"The Street Is Missing The Big Picture On Big Lots, Analyst Upgrades",2
HOS,2017-05-25,Mid-Afternoon Market Update: Genesco Drops After Disappointing Q1 Results; Guess? Shares Climb,0
DKS,2011-11-23,Sterne Agee Adjusts EPS Estimate on Dick's Sporting Goods,0
GWPH,2017-06-14,Marijuana Industry Insiders On Why The IRS Is Targeting Them — And How To Avoid Business Disruption,1
EFX,2017-09-19,Markets Move Moderately Higher As Wall Street Awaits Balance Sheet Reduction Plan,2
FENG,2014-07-16,Phoenix New Media Announces The Appointments Of CMO And CTO,1
IMPV,2014-04-09,Imperva Falls Following Weak Prelim Q1 Results,1
LUB,2015-06-10,"Earnings Scheduled For June 10, 2015",1
TM,2012-11-01,Toyota Reports 15.8% Rise in Total Auto Sales for Oct. vs 26% Gain Est,1
HALO,2015-12-21,"UPDATE: Halozyme Says Will Receive Initial $25M Payment, Followed by Milestone Payments of Up to $160M for Each of Up to Five Collab Targets",1
DPW,2017-09-19,"Digital Power Announces Restructuring to a Holding Company, Changes Name to DPW Holdings",0
TM,2010-08-04,Toyota Swings To Profits In Q2,1
PTR,2011-09-19,"Benzinga's Top ETF Decliners, September 19th (EDC, FAS, DRN, XPP)",1
MNTX,2017-05-04,"Manitex Reports Q1 Adj. EPS $(0.21) May Not Compare To $0.10 Est., Sales $67.9M vs $73.6M Est.",0
SNY,2016-08-12,Option Alert: SNY Sep16 39.0 Puts Sweep: 961 @  ASK  $0.65: 1265 traded vs 2045 OI: $40.19 Ref,1
JWN,2011-11-11,J.P. Morgan Neutral on Nordstrom After Earnings,2
STLD,2012-08-23,Dahlman Rose Downgrades Steel Dynamics from Buy to Hold,0
EFX,2014-04-24,"From Equifax Call: Reaffirms FY14 EPS $Outlook 3.75-3.89 vs $3.84 Est, Sales $2.42B-2.48B vs $2.64B Est",1
MDCO,2015-12-14,"The Medicines Company Announces Investigational Lipid Modulating Agent, MDCO-216, Phase 1 Data Published in European Heart Journal- Cardiovascular Pharmacotherapy",1
HDP,2015-11-04,Hortonworks Reports Q3 Loss $1.01 Vs est Loss $0.83,1
IVZ,2011-04-27,Investco Reports EPS of $0.41 vs. $0.42 Estimate (IVZ),1
MDCO,2016-01-06,Jefferies' Best Biotech Ideas For 2016 (And Beyond),1
MKC,2012-10-04,"Wellington Shields Initiates Coverage on McCormick at Buy, Announces PT of $74",1
PERY,2017-03-22,"8 Stocks To Watch For March 22, 2017",0
NAV,2013-08-21,"Susquehanna Initiates Coverage on Navistar International Corporation at Neutral, Announces $31.00 PT",1
GD,2011-07-19,U.S. War Machine Stealing Money...And No One Seems to Care,1
NRG,2015-08-12,Mid-Afternoon Market Update: Freshpet Slides On Earnings Miss; Inogen Shares Spike Higher,2
RENN,2013-03-01,"Short Sellers Rush Back in to Certain Social Media Stocks (EBAY, FB, ZNGA)",0
MKC,2014-11-25,McCormick Raises Qtr. Dividend from $0.37 to $0.40/Share,1
RST,2013-06-11,Rosetta Stone Closes Offering of 3.5M Shares,1
HDP,2015-06-09,"Wunderlich Initiates Coverage on Hortonworks at Buy, Announces $32.00 PT",1
GAM,2011-01-19,"Insiders Trading TIF, APOL, GAM, GD",1
SNV,2016-02-16,8-K from Synovus Financial Shows CFO Thomas Prescott to Retire,1
GGP,2017-06-20,Goldman Sachs Downgrades GGP to Sell,1
EFX,2016-04-11,John Oliver's Latest Attack: The Credit Report Agencies,1
RENN,2013-08-23,"Market Wrap For Friday, August 23: Market Rally Is No Fallacy",0
UFI,2016-10-27,"Unifi Reports Q1 EPS $0.51 vs. Est. $0.33, Rev. $160M vs. Est. $156.5M",1
INXN,2012-07-18,"Canaccord Initiates Coverage on Interxion Holding at Buy, Announces PT of $22",0
TX,2013-07-22,"On Ternium Twitter, Co. Confirming Nuevo Leon Plant Explosion, Says Blast Occurred in Guerrero Plant, Co., Gov't Investigating Cause",1
NRG,2016-05-05,"NRG Energy Reports Q1 Adj. EBITDA $812M, Sales $3.229B vs $3.26B Est.",1
ELGX,2014-11-05,"Endologix Chairman Mcdermott Buys 25,000 Shares @$11.25/Share -Form 4",1
TM,2013-08-06,"General Motors Slashes Chevy Volt Price By $5,000 To Boost Sales (GM)",1
JWN,2015-10-12,"Credit Suisse Cuts Target on Nordstrom from $76 to $75; Believes Investors Now Solely Focused on Retail Execution; Does Not Like Underlying Fundamentals, Remaining On the Sidelines",1
EGO,2016-02-25,Eldorado gold Offers Update on Greece: Hellas gold Unit Has Received Building Permit for Skouries Processing Plant,2
JCI,2010-09-03,Honeywell Wins Contract - Analyst Blog,1
MINI,2017-04-27,"Mobile Mini Reports Q1 EPS $0.23 vs $0.26 Est., Sales $123.5M vs $124.8M Est.",0
KANG,2015-11-30,iKang Reports Receipt of Competing Non-Binding Go Private Bid at $44/Share or $22/ADS in All Cash,2
IMPV,2016-03-01,Imperva Announces Received ICSA Labs Excellence in Info Security Testing Award,2
AVY,2013-04-25,Avery Dennision Raises Qtr. Dividend from $0.27 to $0.29/Share,0
RGLD,2010-09-20,Protection Purchased on Royal Gold (RGLD),1
PGRE,2015-11-05,"Paramount Reports Q3 EPS $0.20 vs. Est. $0.20, Rev. $167.726M vs. Est. $161.79M",1
PAG,2012-03-14,"Sterne Agee Maintains Penske Automotive Group at Buy, Raises PT from $24 to $29",2
AVY,2012-10-22,"Topeka Capital Markets Initiates Coverage on Avery Dennison at Hold, Announces PT of $30",1
STLD,2014-07-21,"Steel Dynamics, Inc. Reports Q2 EPS of $0.31, Inline; Revenue of $2.07B vs $1.99B Est",2
EFX,2017-09-15,"With Equifax Down 30%, Is The Stock Finally Fairly Priced?",0
HDP,2015-05-13,10 Stocks You Should Be Watching Today,0
AZN,2013-07-25,U.S. FDA Acknowledges Receipt of Resubmission of the New Drug Application From AstraZenenca,1
VNOM,2014-10-16,"Viper Energy Partners LP, a Subsidiary of Diamondback Energy, Inc., Reports Third Quarter 2014 Production",2
ETN,2016-01-20,Standpoint Research Initiates Coverage on Eaton at Buy,1
CINF,2012-09-24,Cincinnati Insurance Company Appoints Jacob Scherer Chief Insurance Officer ,1
PTR,2011-05-03,"Benzinga's Top ETF Gainers, May 3rd (ZSL, ERY, CZI, EDZ)",1
CHSP,2012-07-31,"Chesapeake Lodging Trust Guides FY12 AFFO $1.58-1.66, Had Seen $1.60-1.69 vs $1.60 Est",1
RLGT,2015-03-09,"Radiant Logistics Announces Further Expansion Of Airgroup Network With New Operations In San Juan, Puerto Rico",2
PTR,2010-02-09,Goldman Lowers PetroChina (PTR) To Sell,1
MTOR,2011-11-18,"UPDATE: KeyBanc Downgrades Meritor to Hold, Suspends Target ",0
CBG,2012-08-07,"Barclays Maintains CB Richard Ellis Group at Overweight, Lowers PT from $23 to $22",2
CASH,2017-04-26,Meta Financial Group Reports Q2 EPS $3.42 vs $3.97 Est.,1
GABC,2016-04-28,German American Bancorp Reports Q1 EPS $0.37 May Not Compare to $0.55 Est.,1
MDCO,2014-07-23,The Medicines Company Reports Q2 EPS of $(0.08) vs $(0.02) Est; Revenue of $183.80M vs $183.75M Est,0
AVY,2016-04-27,"Avery Dennision Announces Acquisition of Mactac Europe, Deal Worth EUR 200M",1
CDXS,2013-02-27,"Codexis, Inc. Reports Q4 EPS of $(0.41) vs $(0.36) Est; Revenue of $7.90M",0
RGLD,2013-04-15,Funds Will Go Under On Gold/Silver Crash: Buy Gold Now?,0
DG,2012-06-08,"IBD 50 Earnings: Ulta A Beauty, Lululemon & Titan Not - IBD",2
GABC,2017-04-25,Mid-Morning Market Update: Markets Open Higher; McDonald's Earnings Beat Estimates,1
DG,2013-08-01,How About a Detroit ETF?,1
RGS,2016-01-28,"Regis Q2 EPS $0.03 vs -$0.07 est, Revenue $450.5M vs $453M est",0
GSS,2014-04-09,"Golden Star Report Prelim Q1 Gold Production, 65,811 Ounces, Reaffirms Fiscal Year Production Guidance",2
FOXF,2016-04-29,Here's How To Play Your Active Lifestyle In The Market,1
HIIQ,2013-03-05,"Credit Suisse Initiates Coverage on Health Insurance Innovations at Outperform, Announces $17.00 PT",1
AEZS,2015-07-28,"Aeterna Zentaris Grants Option to Develop, Commercialize Oral Allogenic Cancer Vaccine Technology",2
BORN,2012-03-07,"Piper Jaffray Maintains China New Borun at Overweight, Lowers PT from $7.7 to $7",0
CNX,2010-10-21,"Zacks Bull and Bear of the Day Highlights: RCL,CNX,MS,ABT,BIIB - Press Releases",0
TM,2010-02-03,"Market Round-up (CMCSA, TM, HDIX, MCHP, SSTI)",0
MDCO,2015-01-07,What Investors Should Expect From Rockwell Medical's Next FDA Decision,2
STLD,2011-08-24,"Morgan Stanley Downgrades Steel Dynamics To Equal-weight, Lowers PT To $19",1
HMNY,2017-04-03,"Helios and Matheson Analytics Goes Live With Twitter Real-Time Crime Feed, Partnering With India Institute of Technology",0
EGO,2016-03-24,"Credit Suisse Maintains Neutral on Eldorado Gold, Raises PT to $3.00",1
AZN,2016-09-06,Astrazeneca Says Benralizumab Phase III Trials Show Positive Results,1
CJJD,2013-06-14,Can Companies Recover from a Nasdaq or NYSE Delisting?,1
TST,2016-03-08,Spear Point Capital Management LLC Reports 4.99% Stake in TheStreet in 13D,2
ACC,2015-02-17,"Earnings Scheduled For February 17, 2015",1
IVZ,2013-02-07,Emerging Markets Drive Another Month of ETF Inflows,1
NAV,2011-10-24,Navistar Reports $355M Credit Pact,2
JWN,2016-10-31,Nordstrom Beginning To Take A Hit From Revenue Woes,1
RST,2011-02-28,Rosetta Stone Reports Q1 EPS of $0.23 vs. $0.28 ,1
COF,2017-07-21,Capital One Issues EPS Guidance For The First Time In Recent Memory,2
JWN,2010-05-13,"Stock Market News for May 13, 2010 - Market News",0
HBAN,2010-09-14,"Stock Market News for September 14, 2010 - Market News",1
AVY,2011-06-17,Basic Materials Sector Sinking to Intraday Lows,1
TM,2013-04-19,"Toyota To Build Lexus ES 350 At Its Georgetown, Kentucky Plant",1
PRGS,2015-07-01,Progress Software Sees FY15 Rev. $415M-$425M vs $419M Est.; EPS $1.45-$1.52 vs $1.42 Est.,2
RSPP,2017-08-15,"Imperial Capital Initiates Coverage On RSP Permian with Outperform Rating, Announces $42.00 Price Target",1
CASH,2012-08-20,Meta Financial Group Announces Purchase Agreements For $34.2M Of New Capital To Support Anticipated Growth,0
WAT,2012-04-25,"Morning Social Media Outlook for Wednesday April 25 (GEOI, NOC, WAT, T)",1
NBL,2012-08-29,Not Chesapeake: One Company Cash-Rich Chevron Should Buy,1
JWN,2010-04-08,"March Retail Sales Jump; Retail Stocks Follow Suit (GPS, ROST, TGT, JWN, COST, JCP, ANF, TJX, ARO)",0
STLD,2014-12-16,Steel Sector Mixed Following Nucor EPS Guidance,1
NNI,2017-03-14,"Ameritas, Nelnet Annouince JV to Provide Student Loan Repayment Benefits",1
GWPH,2016-09-08,GW Pharmaceuticals Spikes to High of $105.24,2
HDP,2016-08-04,"Hortonworks Reports Q2 EPS $(0.72) vs. Est. $(0.70), Rev. $43.6M vs. Est. $45M",1
TM,2015-08-05,How Elon Musk Saved Tesla...,1
EROS,2017-09-05,25 Stocks Moving In Tuesday's Pre-Market Session,0
COF,2013-05-15,"George Soros Sold Out of GE, CF, Morgan Stanley, Capital One, JP Morgan, Opened Stakes in Red Hat, Brocade, Lowered Stakes in Apple, AIG, C, Raised Stakes in US Airways, Google",1
MDCO,2015-02-04,The Medicines Company Acquires Annovation Biopharma; Terms Not Disclosed,1
WTM,2015-11-02,White Mountain Reports Q3 Revs $334.7M Vs Prior $323.2,1
HNP,2012-08-01,Huaneng Power H1 Net Profit Up 87%,1
ZGNX,2012-12-18,Zogenix Shares Rally as FDA Redschedules Hydrocodone Drugs Panel,2
TOL,2010-12-03,J.P. Morgan Introduces 2011 PT Of $26 On Toll Brothers ,1
NBL,2012-08-28,"Societe Generale  Maintains Noble Energy at Buy, Raises PT from $97 to $106",1
JCI,2011-10-13,"Wunderlich Securities Reiterates Johnson Controls Buy, $45 Price Target",1
DG,2012-12-03,"UPDATE: Deutsche Bank Reiterates Buy Rating, Lowers PT on Dollar General",0
HALO,2014-04-04,"Market Wrap For April 4: Dow Suffers Triple Digit Point Loss, Nasdaq Continues To Underperform",2
IVZ,2014-05-20,"JP Morgan Upgrades Invesco Plc to Overweight, Raises PT to $42.00",1
PTR,2015-08-31,Bank of America Downgrades PetroChina to Neutral,1
GGP,2013-01-07,Ackman Says Pershing More than a Hedge Fund; We are Highly Transparent,1
COF,2016-08-03,"Notable Stocks Trading Ex-Dividend Thursday, August 4",1
ACGL,2015-10-30,Bank of America Downgrades Arch Capital Group to Underperform,0
MKC,2010-04-19,Top Stocks of Maryland,1
AXGN,2016-05-04,"AxoGen Reports Q1 EPS $(0.12) vs. Est. $(0.12), Rev. $8.1M vs. Est. $7.52M",1
AZN,2015-02-05,AstraZeneca Q4 Profit Misses Estimates,1
FENG,2016-03-24,"Phoenix New Media Reports Short-Term Extension Related to Coop Deals with Phoenix TV: Extended from Mar. 27, '16 to May 27, 1'6",1
CNX,2011-09-22,CONSOL Energy Increases Annual Coal Export Guidance; Confirms Quarterly Coal Production Guidance,0
ETN,2014-10-14,Benzinga's Top Upgrades,1
SNV,2012-04-03,"Guggenheim Maintains Synovus Financial at Neutral, Raises PT from $1.75 to $2.25",2
HOS,2017-03-29,Mid-Day Market Update: Crude Oil Up 1.5%; Alliqua Biomedical Shares Slide,2
HDP,2015-02-12,"Hortonworks Reaches 1,000 Partner Milestone",0
FISV,2013-07-08,"Barclays Upgrades Fiserv, Inc. to Overweight, Raises PT to $105.00",1
MINI,2013-08-09,"Market Wrap for Friday, August 9: Stocks Close Lower To End Week",2
JWN,2010-08-30,Nordstrom Plans Rack Store in Texas - Analyst Blog,0
CNX,2013-04-12,"CONSOL Energy Issues Operations Update, Says Sees Q2 Coal Production 13.25-13.75M Tons, Gas Production 38-40 bcfe",0
JWN,2012-02-21,Nordstrom Lifts Quarterly Dividend By 17%,2
AMRC,2017-05-16,"Oppenheimer Emerging Growth Conference Takes Place Today, Attendees Include Resonant, Ameresco, Pixelworks, & Leaf Group",1
HBAN,2014-12-18,Huntington Bank To Offer Apple Pay To Customers,1
STLD,2012-01-04,Bank of America Upgrades Steel Dynamics to Buy,2
CNX,2012-03-07,"Citigroup Maintains Consol Energy at Buy, Lowers PT from $45 to $40",1
RLJ,2016-05-19,"Cycle In Lodging 'Appears To Be Over'; BofA Downgrades 4 Stocks, Lowers Targets On 6",0
PNNT,2010-09-01,PennantPark Investment Corporation Announces Quarterly Distribution of $0.26   ,1
SHI,2017-02-14,Mid-Morning Market Update: Markets Edge Lower; T-Mobile Beats Q4 Views,1
RGEN,2017-11-09,"Repligen Reports Q3 Adj. EPS $0.15 vs $0.11 Est., Sales $36.6M vs $35.3M Est.",0
SNY,2011-10-17,Mad Money Lightning Round: Cramer Likes Coca-Cola,0
STRA,2016-08-09,"Going To University Makes No Economic Sense, New UK Study Says",1
BORN,2012-11-15,China New Borun Reports Q3 EPS $0.21; Revenues $88.2M vs $107.33M Est,2
DKS,2010-08-24,"Unusual option activity: Cintas Corp. (CTAS), Dick’s Sporting Goods (DKS), Walgreen Co. (WAG)",1
GWPH,2016-12-05,"Must Watch Stocks for December 5, 2016",2
FISV,2015-12-08,"FIS Announced Resolution, Dismissal of Patent Infringement Claims Brought by Fiserv",1
AGEN,2010-05-11,"Mid Market Movers (ZANE, RGDX, AEY, AGEN)",2
ELGX,2011-04-06,Oppenheimer Surveys Non-Profit Hospitals' 1Q11,1
ELGX,2015-08-25,"Piper Jaffray Suggests Taking Advantage of Recent Pullback in Endologix Shares to Build Positions Ahead of Nellix IDE Data, US Launch",1
VII,2016-07-08,"Vicon Shares Up ~ 155% On Heavy Volume, Likely Responding To Dallas Incident",2
HALO,2012-08-01,Halozyme Confirms Baxter Has Received A Complete Response Letter For HyQ BLA ,0
AGRX,2017-08-03,Agile Therapeutics Shares Down 22% Pre-Market After 5.33M Share Offering Priced At $3.75/Share,0
TOL,2015-06-11,Benzinga's Top Upgrades,1
JCI,2014-01-23,"Johnson Controls, Inc. Sees Q2 EPS $0.64-0.66 vs $0.66 Est",1
RENN,2011-08-11,Is Angry Birds Leaving Nest to Join Zynga?,2
BIOA,2015-03-03,BioAmber Initiates Commissioning of Sarnia Commercial Plant,1
GWPH,2014-06-17,#Premarket Prep Technical Update - GW Pharmaceuticals Trading Sharply Higher,2
NRG,2015-10-16,Benzinga's Top Initiations,0
SNY,2014-04-29,"UPDATE: JNJ, Sanofi Spokespersons Decline Comment on Rumored Contact from Allergan",1
ELGX,2017-03-24,Benzinga's Option Alert Recap From March 24,2
CDXS,2017-03-31,Codexis Reports Signing of Multi-Year Deal with Tate & Lyle,2
TXRH,2010-11-02,Texas Beats by a Penny - Analyst Blog,0
KANG,2015-06-30,iKnag To Acquire Yinchuan Ciming Medical Center; Terms Not Disclosed,2
NBL,2013-05-29,Stocks Hitting 52-Week Lows,1
BPL,2016-09-08,Benzinga's Top Upgrades,1
DNN,2010-11-24,Denison Mines Corp. Jumps Over 8.00% (DNN),2
SNY,2014-09-08,Sanofi Announces Vaccines Unit Has Reported FDA Approval for Use of Menactra Vaccine,1
ADI,2011-02-16,"Benzinga's Top Downgrades (GLCH, ADI, CPLA, FDO)",2
STLD,2014-08-25,Benzinga's Top #PreMarket Losers,1
MTOR,2011-08-05,Options Brief: Meritor,0
EFX,2017-01-20,Goldman Sachs Downgrades Equifax to Sell,1
RENN,2012-08-08,"UPDATE: Credit Suisse Reiterates Neutral Rating, Lowers PT on Renren",2
NKTR,2012-01-05,Baxter Initiates Phase I Clinical Trial of Longer-Acting Recombinant FVIII Treatment for Hemophilia A  ,2
RENN,2011-11-21,A Peek Into The Market Before The Trading Starts,0
NM,2017-02-22,Navios Maritime Partners L.P. Reports the Acquisition of Certain Financial Assets for $27.0 million from Navios Maritime Holdings Inc.,0
TM,2014-02-03,"Total Vehicle Sales for Jan. 15.16M SAAR vs Est. of 15.7M Units, Domestic Units 11.94M vs 11.9M Est.",1
TM,2015-01-05,Desrosiers Automotive Consultants Report Canadian Dec. Auto Sales Up 16.1% YoY,1
JWN,2010-02-23,"Stock Market News for February 23, 2010 - Market News",2
AZN,2010-12-23,"AstraZeneca, Abbott Kill Co-Development Deal Early",1
CHSP,2012-01-31,Chesapeake Lodging Trust Announces Definitive Agreement to Acquire 2nd New York City Midtown Hotel  for $76.5M,1
IMPV,2015-09-10,Benzinga's Top Initiations,1
ZGNX,2017-03-01,Zogenix Receives Orphan Drug Designation in the European Union for ZX008,0
ENVA,2016-06-06,"Enova Discusses Potential Impact of CFPB Proposed Rule on Consumer Access to Credit; Says 'we are confident in our ability to adapt to new rules', Revs For Products Impacted By New Rules Could Decline 30-40% From Current Levels",2
PTR,2010-06-11,Air Products Growing in China  - Analyst Blog,2
RUBI,2016-01-07,Zynga & Rubicon Project Announce New SponsoredPLAY Custom Mobile Advertising Product for Political Campaign Advertisers,1
DKS,2017-08-16,Susquehanna Downgrades Dick's Sporting Goods to Neutral,2
MTOR,2014-07-31,"Meritor, Inc. Raises FY2014 EPS Guidance from $0.50-0.60 to $0.65-0.75 vs $0.61 Est, Reaffirms Sales Outlook",0
WLH,2017-08-07,"William Lyon Homes Q2 EPS $0.49 vs $0.48 Est., Sales $422.6M vs $424.0M Est.",2
JCI,2010-11-18,Honeywell Wins Retrofitting Contract - Analyst Blog,1
DG,2014-10-16,"Dollar General Announces New Distribution Center in San Antonio, TX",1
STRA,2012-11-09,"Bank of America Maintains Strayer Education at Neutral, Lowers PT from $75 to $52",0
NAV,2015-03-18,"Morgan Stanley Downgrades Navistar International to Underperform, Lowers PT to $20.00",1
DKS,2012-06-14,Time to Lace-Up ETFs with Footwear Exposure?,1
GFA,2011-12-19,Top 4 Stocks In The Residential Construction Industry With The Lowest PEG Ratio,0
ETN,2013-04-29,A Peek Into The Market Before The Trading Starts,1
RST,2014-02-25,Rosetta Stone Reports Q4 EPS of $0.05 vs $0.11 Est; Revenue of $77.70M vs $82.41M Est,2
AMRC,2015-11-05,"Ameresco Reports Q3 EPS $0.09 Vs Est $0.11, Sales $189.1M Vs Est $168.15M",0
ADI,2014-06-09,"Shares of Hittite Microwave Resume Trade, Now Up 25.6% to $76.06",2
RENN,2013-08-15,"Jefferies Downgrades Renren Inc. to Underperform, Raises PT to $3.30",2
AGEN,2012-07-18,Agenus Announces Phase 3 Clinical Trial of GSK's Herpes Zoster Vaccine Candidate Containing Agenus' QS-21 Commences in Immunocompromised Patients  ,1
AVY,2014-10-24,Avery Dennison Corporation Reports Q3 EPS of $0.77 vs $0.74 Est; Revenue of $1.56B vs $1.57B Est,1
PTR,2016-03-07,"Oil Markets Could Re-Balance Earlier Than Expected, New Research Shows",2
NBL,2014-06-12,CORRECTION: CONSOL Energy To Form MLP With Noble Energy; IPO To Come,1
ELMD,2017-11-09,57 Biggest Movers From Yesterday,2
BPL,2016-02-12,"Earnings Scheduled For February 12, 2016",1
AEZS,2017-01-31,Mid-Day Market Update: Dow Falls Over 100 Points; DryShips Shares Spike Higher,2
MKC,2015-01-12,"Citigroup Bearish On Food Companies, Downgrades 6 Names",1
SPB,2015-05-14,Benzinga's Volume Movers,1
DKS,2015-11-17,10 Stocks You Should Be Watching Today,2
