stock,year,label
RNN,2017,2
SYMX,2014,2
SYMX,2015,1
SYMX,2016,1
SYMX,2017,0
PFPT,2014,2
PFPT,2015,2
PFPT,2016,2
PFPT,2017,2
EDN,2014,2
EDN,2015,2
EDN,2016,2
EDN,2017,2
IX,2014,0
IX,2015,2
IX,2016,2
IX,2017,2
AEL,2014,2
AEL,2015,0
AEL,2016,1
AEL,2017,2
EVGN,2014,0
EVGN,2015,0
EVGN,2016,0
EVGN,2017,0
ACU,2014,2
ACU,2015,0
ACU,2016,2
ACU,2017,1
WNRL,2014,2
WNRL,2015,0
WNRL,2016,1
WNRL,2017,2
ZFGN,2014,2
ZFGN,2015,0
ZFGN,2016,0
ZFGN,2017,2
KRG,2014,2
KRG,2015,1
KRG,2016,1
KRG,2017,0
BOSC,2014,0
BOSC,2015,0
BOSC,2016,1
BOSC,2017,0
AGEN,2014,2
AGEN,2015,2
AGEN,2016,1
AGEN,2017,0
VIVO,2014,0
VIVO,2015,2
VIVO,2016,1
VIVO,2017,0
TAIT,2014,1
TAIT,2015,1
TAIT,2016,2
TAIT,2017,2
CCE,2014,1
CCE,2015,2
CCE,2016,1
CCE,2017,2
FCF,2014,1
FCF,2015,1
FCF,2016,2
FCF,2017,1
INGN,2014,2
INGN,2015,2
INGN,2016,2
INGN,2017,2
HSON,2014,0
HSON,2015,1
HSON,2016,0
HSON,2017,1
HRTX,2014,0
HRTX,2015,2
HRTX,2016,0
HRTX,2017,2
LOGM,2014,2
LOGM,2015,2
LOGM,2016,2
LOGM,2017,2
FL,2014,2
FL,2015,2
FL,2016,2
FL,2017,0
UTMD,2014,2
UTMD,2015,1
UTMD,2016,2
UTMD,2017,1
JBT,2014,2
JBT,2015,2
JBT,2016,2
JBT,2017,2
ANET,2014,2
ANET,2015,2
ANET,2016,2
ANET,2017,2
VBLT,2014,1
VBLT,2015,0
VBLT,2016,1
VBLT,2017,2
RLOG,2014,0
RLOG,2015,0
RLOG,2016,0
RLOG,2017,0
KF,2014,1
KF,2015,1
KF,2016,1
KF,2017,2
AKER,2014,0
AKER,2015,0
AKER,2016,2
AKER,2017,0
ANAT,2014,1
ANAT,2015,1
ANAT,2016,2
ANAT,2017,1
PRTO,2014,1
PRTO,2015,2
PRTO,2016,0
PRTO,2017,1
WD,2014,1
WD,2015,2
WD,2016,1
WD,2017,2
CHMI,2014,2
CHMI,2015,0
CHMI,2016,2
CHMI,2017,1
LPSN,2014,1
LPSN,2015,0
LPSN,2016,2
LPSN,2017,2
BBBY,2014,1
BBBY,2015,0
BBBY,2016,0
BBBY,2017,0
TORM,2014,0
TORM,2015,0
TORM,2016,2
TORM,2017,1
SRCL,2014,2
SRCL,2015,1
SRCL,2016,0
SRCL,2017,0
JHX,2014,1
JHX,2015,2
JHX,2016,2
JHX,2017,1
WTW,2014,0
WTW,2015,1
WTW,2016,0
WTW,2017,2
EMCI,2014,2
EMCI,2015,2
EMCI,2016,2
EMCI,2017,1
OFLX,2014,2
OFLX,2015,1
OFLX,2016,2
OFLX,2017,2
SU,2014,1
SU,2015,0
SU,2016,2
SU,2017,2
ALV,2014,2
ALV,2015,2
ALV,2016,1
ALV,2017,2
RVSB,2014,2
RVSB,2015,1
RVSB,2016,2
RVSB,2017,2
FSFG,2014,2
FSFG,2015,2
FSFG,2016,2
FSFG,2017,2
SSD,2014,1
SSD,2015,1
SSD,2016,2
SSD,2017,2
TPVG,2014,1
TPVG,2015,1
TPVG,2016,2
TPVG,2017,2
HY,2014,0
HY,2015,0
HY,2016,2
HY,2017,2
BLL,2014,2
BLL,2015,1
BLL,2016,1
BLL,2017,1
OPTT,2014,0
OPTT,2015,0
OPTT,2016,2
OPTT,2017,0
PEIX,2014,2
PEIX,2015,0
PEIX,2016,2
PEIX,2017,0
KCAP,2014,1
KCAP,2015,0
KCAP,2016,2
KCAP,2017,1
QRVO,2015,0
QRVO,2016,1
QRVO,2017,2
SIR,2014,1
SIR,2015,0
SIR,2016,2
SIR,2017,1
CORI,2014,0
CORI,2015,2
CORI,2016,0
CORI,2017,2
BCO,2014,0
BCO,2015,2
BCO,2016,2
BCO,2017,2
UTI,2014,0
UTI,2015,0
UTI,2016,0
UTI,2017,2
AER,2014,1
AER,2015,2
AER,2016,1
AER,2017,2
AVGO,2014,2
AVGO,2015,2
AVGO,2016,2
AVGO,2017,2
TREE,2014,2
TREE,2015,2
TREE,2016,2
TREE,2017,2
KMPR,2014,1
KMPR,2015,1
KMPR,2016,2
KMPR,2017,2
EXLS,2014,1
EXLS,2015,2
EXLS,2016,2
EXLS,2017,2
MATX,2014,2
MATX,2015,2
MATX,2016,0
MATX,2017,0
BPI,2014,0
BPI,2015,0
BPI,2016,2
BPI,2017,1
PKOH,2014,2
PKOH,2015,0
PKOH,2016,2
PKOH,2017,1
FMS,2014,1
FMS,2015,2
FMS,2016,1
FMS,2017,2
HRTG,2014,2
HRTG,2015,2
HRTG,2016,0
HRTG,2017,1
BLVD,2015,1
BLVD,2016,1
BLVD,2017,1
SSB,2014,1
SSB,2015,2
SSB,2016,2
SSB,2017,1
FF,2014,0
FF,2015,1
FF,2016,2
FF,2017,1
ROL,2014,2
ROL,2015,2
ROL,2016,2
ROL,2017,2
SNAK,2014,1
SNAK,2015,0
SNAK,2016,2
SNAK,2017,0
MOFG,2014,1
MOFG,2015,1
MOFG,2016,2
MOFG,2017,1
NAVI,2014,2
NAVI,2015,0
NAVI,2016,2
NAVI,2017,0
PKX,2014,0
PKX,2015,0
PKX,2016,2
PKX,2017,2
FCB,2014,2
FCB,2015,2
FCB,2016,2
FCB,2017,1
MCHX,2014,0
MCHX,2015,0
MCHX,2016,0
MCHX,2017,2
CSPI,2014,1
CSPI,2015,1
CSPI,2016,2
CSPI,2017,2
ALLE,2014,2
ALLE,2015,2
ALLE,2016,1
ALLE,2017,2
HOMB,2014,0
HOMB,2015,2
HOMB,2016,2
HOMB,2017,0
PKE,2014,1
PKE,2015,0
PKE,2016,2
PKE,2017,1
QSR,2014,2
QSR,2015,1
QSR,2016,2
QSR,2017,2
APTO,2014,1
APTO,2015,0
APTO,2016,0
APTO,2017,2
DF,2014,2
DF,2015,1
DF,2016,2
DF,2017,0
NWFL,2014,1
NWFL,2015,1
NWFL,2016,2
NWFL,2017,2
ATU,2014,0
ATU,2015,0
ATU,2016,1
ATU,2017,1
NL,2014,0
NL,2015,0
NL,2016,2
NL,2017,2
GVP,2014,1
GVP,2015,2
GVP,2016,2
GVP,2017,1
AXGN,2014,0
AXGN,2015,2
AXGN,2016,2
AXGN,2017,2
BDC,2014,2
BDC,2015,0
BDC,2016,2
BDC,2017,1
IBCP,2014,1
IBCP,2015,2
IBCP,2016,2
IBCP,2017,1
ALIM,2014,2
ALIM,2015,0
ALIM,2016,0
ALIM,2017,2
EWBC,2014,2
EWBC,2015,2
EWBC,2016,2
EWBC,2017,2
FBIZ,2014,2
FBIZ,2015,1
FBIZ,2016,1
FBIZ,2017,1
ARCW,2014,1
ARCW,2015,0
ARCW,2016,2
ARCW,2017,0
FSBK,2014,1
FSBK,2015,1
FSBK,2016,2
FSBK,2017,2
MCHP,2014,1
MCHP,2015,1
MCHP,2016,2
MCHP,2017,2
BVN,2014,0
BVN,2015,0
BVN,2016,2
BVN,2017,2
BMI,2014,2
BMI,2015,1
BMI,2016,2
BMI,2017,2
CKH,2014,0
CKH,2015,0
CKH,2016,2
CKH,2017,1
ZTR,2014,1
ZTR,2015,1
ZTR,2016,1
ZTR,2017,2
OXBR,2014,1
OXBR,2015,1
OXBR,2016,2
OXBR,2017,0
VCYT,2014,0
VCYT,2015,0
VCYT,2016,2
VCYT,2017,0
ENBL,2014,0
ENBL,2015,0
ENBL,2016,2
ENBL,2017,1
DWAS,2014,1
DWAS,2015,1
DWAS,2016,2
DWAS,2017,2
MGCD,2014,0
MGCD,2015,1
MGCD,2016,2
MGCD,2017,2
GDP,2017,0
ELGX,2014,0
ELGX,2015,0
ELGX,2016,0
ELGX,2017,1
ESP,2014,0
ESP,2015,1
ESP,2016,1
ESP,2017,0
ANW,2014,2
ANW,2015,0
ANW,2016,2
ANW,2017,0
CHKE,2014,2
CHKE,2015,0
CHKE,2016,0
CHKE,2017,0
ACH,2014,2
ACH,2015,0
ACH,2016,2
ACH,2017,2
OLED,2014,0
OLED,2015,2
OLED,2016,1
OLED,2017,2
PCLN,2014,1
PCLN,2015,2
PCLN,2016,2
PCLN,2017,2
MTB,2014,2
MTB,2015,1
MTB,2016,2
MTB,2017,1
SKY,2014,0
SKY,2015,1
SKY,2016,2
SKY,2017,0
OAK,2014,1
OAK,2015,1
OAK,2016,0
OAK,2017,2
WRLD,2014,1
WRLD,2015,0
WRLD,2016,2
WRLD,2017,2
CEVA,2014,2
CEVA,2015,2
CEVA,2016,2
CEVA,2017,2
PCYO,2014,0
PCYO,2015,2
PCYO,2016,2
PCYO,2017,2
NGD,2014,0
NGD,2015,0
NGD,2016,2
NGD,2017,1
IBIO,2014,2
IBIO,2015,0
IBIO,2016,0
IBIO,2017,0
AVA,2014,2
AVA,2015,1
AVA,2016,2
AVA,2017,2
ABY,2014,0
ABY,2015,0
ABY,2016,1
ABY,2017,2
HSII,2014,2
HSII,2015,2
HSII,2016,1
HSII,2017,1
ASUR,2014,1
ASUR,2015,0
ASUR,2016,2
ASUR,2017,2
HP,2014,0
HP,2015,0
HP,2016,2
HP,2017,0
ANCX,2014,2
ANCX,2015,2
ANCX,2016,2
ANCX,2017,1
OSUR,2014,2
OSUR,2015,0
OSUR,2016,2
OSUR,2017,2
ASNA,2014,0
ASNA,2015,0
ASNA,2016,0
ASNA,2017,0
TXRH,2014,2
TXRH,2015,1
TXRH,2016,2
TXRH,2017,1
PLOW,2014,2
PLOW,2015,1
PLOW,2016,2
PLOW,2017,2
MPC,2014,1
MPC,2015,2
MPC,2016,1
MPC,2017,2
DVAX,2014,0
DVAX,2015,2
DVAX,2016,0
DVAX,2017,2
KW,2014,2
KW,2015,1
KW,2016,0
KW,2017,1
CVTI,2014,2
CVTI,2015,0
CVTI,2016,1
CVTI,2017,2
ESNT,2014,2
ESNT,2015,0
ESNT,2016,2
ESNT,2017,2
EMCF,2014,1
EMCF,2015,1
EMCF,2016,2
EMCF,2017,1
CEO,2014,0
CEO,2015,0
CEO,2016,2
CEO,2017,2
SBRAP,2014,2
SBRAP,2015,1
SBRAP,2016,1
SBRAP,2017,1
ISRL,2014,1
ISRL,2015,0
ISRL,2016,2
ISRL,2017,1
SDT,2014,0
SDT,2015,0
SDT,2016,0
SDT,2017,1
TIVO,2014,2
TIVO,2015,0
TIVO,2016,2
TIVO,2017,0
KT,2014,1
KT,2015,0
KT,2016,2
KT,2017,1
IMI,2014,0
IMI,2015,2
IMI,2016,0
IMI,2017,2
CTO,2014,2
CTO,2015,1
CTO,2016,1
CTO,2017,1
BYBK,2014,0
BYBK,2015,2
BYBK,2016,2
BYBK,2017,2
RGCO,2014,2
RGCO,2015,1
RGCO,2016,2
RGCO,2017,2
LTC,2014,2
LTC,2015,1
LTC,2016,2
LTC,2017,1
HE,2014,2
HE,2015,0
HE,2016,2
HE,2017,2
HBCP,2014,2
HBCP,2015,2
HBCP,2016,2
HBCP,2017,1
SONC,2014,2
SONC,2015,2
SONC,2016,0
SONC,2017,1
ENFC,2014,1
ENFC,2015,2
ENFC,2016,2
ENFC,2017,2
FEN,2014,2
FEN,2015,0
FEN,2016,2
FEN,2017,1
FSS,2014,2
FSS,2015,1
FSS,2016,1
FSS,2017,2
RSO,2014,1
RSO,2015,0
RSO,2016,0
RSO,2017,2
ABX,2014,0
ABX,2015,0
ABX,2016,2
ABX,2017,0
EXPD,2014,1
EXPD,2015,1
EXPD,2016,2
EXPD,2017,2
RJF,2014,2
RJF,2015,1
RJF,2016,2
RJF,2017,2
TSCO,2014,1
TSCO,2015,2
TSCO,2016,1
TSCO,2017,0
CHT,2014,1
CHT,2015,1
CHT,2016,2
CHT,2017,2
IVR,2014,2
IVR,2015,0
IVR,2016,2
IVR,2017,2
MRCY,2014,2
MRCY,2015,2
MRCY,2016,2
MRCY,2017,2
CPAH,2014,0
CPAH,2015,0
CPAH,2016,1
CPAH,2017,1
DRE,2014,2
DRE,2015,1
DRE,2016,2
DRE,2017,2
TRK,2014,2
TRK,2015,1
TRK,2016,2
TRK,2017,1
WTM,2014,1
WTM,2015,2
WTM,2016,2
WTM,2017,1
OHRP,2014,1
OHRP,2015,0
OHRP,2016,0
OHRP,2017,0
ORCL,2014,2
ORCL,2015,0
ORCL,2016,1
ORCL,2017,2
MLAB,2014,1
MLAB,2015,2
MLAB,2016,2
MLAB,2017,1
UMC,2014,2
UMC,2015,0
UMC,2016,1
UMC,2017,2
TNP,2014,2
TNP,2015,2
TNP,2016,0
TNP,2017,1
ASX,2014,2
ASX,2015,1
ASX,2016,1
ASX,2017,2
KEYW,2014,0
KEYW,2015,0
KEYW,2016,2
KEYW,2017,0
RTIX,2014,2
RTIX,2015,0
RTIX,2016,0
RTIX,2017,2
RVT,2014,1
RVT,2015,1
RVT,2016,2
RVT,2017,2
CUR,2014,0
CUR,2015,0
CUR,2016,0
CUR,2017,0
CVS,2014,2
CVS,2015,1
CVS,2016,0
CVS,2017,1
HDSN,2014,1
HDSN,2015,0
HDSN,2016,2
HDSN,2017,0
CHU,2014,1
CHU,2015,1
CHU,2016,1
CHU,2017,2
LAND,2014,0
LAND,2015,0
LAND,2016,2
LAND,2017,2
MDC,2014,0
MDC,2015,1
MDC,2016,1
MDC,2017,2
NBL,2014,0
NBL,2015,0
NBL,2016,2
NBL,2017,0
ITW,2014,2
ITW,2015,1
ITW,2016,2
ITW,2017,2
EVR,2014,1
EVR,2015,1
EVR,2016,2
EVR,2017,2
IESC,2014,2
IESC,2015,2
IESC,2016,2
IESC,2017,0
NRCIB,2014,1
NRCIB,2015,1
NRCIB,2016,2
NRCIB,2017,2
ATSG,2014,1
ATSG,2015,2
ATSG,2016,2
ATSG,2017,2
ROK,2014,1
ROK,2015,1
ROK,2016,2
ROK,2017,2
SGEN,2014,0
SGEN,2015,2
SGEN,2016,2
SGEN,2017,1
MIXT,2014,0
MIXT,2015,0
MIXT,2016,2
MIXT,2017,2
PWR,2014,1
PWR,2015,0
PWR,2016,2
PWR,2017,1
W,2014,0
W,2015,2
W,2016,0
W,2017,2
SSP,2014,1
SSP,2015,1
SSP,2016,1
SSP,2017,0
SOR,2014,2
SOR,2015,1
SOR,2016,2
SOR,2017,2
CRY,2014,1
CRY,2015,1
CRY,2016,2
CRY,2017,1
SMTX,2014,0
SMTX,2015,0
SMTX,2016,1
SMTX,2017,2
REN,2014,0
REN,2015,0
REN,2016,2
REN,2017,0
EEP,2014,2
EEP,2015,0
EEP,2016,2
EEP,2017,0
CLRO,2014,2
CLRO,2015,2
CLRO,2016,0
CLRO,2017,0
IDA,2014,2
IDA,2015,1
IDA,2016,2
IDA,2017,2
CECE,2014,1
CECE,2015,0
CECE,2016,2
CECE,2017,0
AREX,2014,0
AREX,2015,0
AREX,2016,2
AREX,2017,0
GPRO,2014,2
GPRO,2015,0
GPRO,2016,0
GPRO,2017,1
JXSB,2014,2
JXSB,2015,2
JXSB,2016,2
JXSB,2017,1
EEFT,2014,2
EEFT,2015,2
EEFT,2016,1
EEFT,2017,2
PAY,2014,2
PAY,2015,0
PAY,2016,0
PAY,2017,1
FUNC,2014,1
FUNC,2015,2
FUNC,2016,2
FUNC,2017,2
HZO,2014,2
HZO,2015,1
HZO,2016,1
HZO,2017,1
CWCO,2014,0
CWCO,2015,2
CWCO,2016,1
CWCO,2017,1
ACRE,2014,1
ACRE,2015,1
ACRE,2016,2
ACRE,2017,1
ALXN,2014,2
ALXN,2015,1
ALXN,2016,0
ALXN,2017,1
DNR,2014,0
DNR,2015,0
DNR,2016,2
DNR,2017,0
PBYI,2014,2
PBYI,2015,0
PBYI,2016,0
PBYI,2017,2
SIM,2014,0
SIM,2015,0
SIM,2016,2
SIM,2017,0
ED,2014,2
ED,2015,1
ED,2016,2
ED,2017,2
RELL,2014,0
RELL,2015,0
RELL,2016,2
RELL,2017,1
KBR,2014,0
KBR,2015,1
KBR,2016,1
KBR,2017,2
HTH,2014,0
HTH,2015,1
HTH,2016,2
HTH,2017,0
CVEO,2014,0
CVEO,2015,0
CVEO,2016,2
CVEO,2017,1
GSS,2014,0
GSS,2015,0
GSS,2016,2
GSS,2017,1
SFL,2014,1
SFL,2015,2
SFL,2016,1
SFL,2017,2
ELY,2014,1
ELY,2015,2
ELY,2016,2
ELY,2017,2
MIC,2014,2
MIC,2015,1
MIC,2016,2
MIC,2017,0
SON,2014,1
SON,2015,1
SON,2016,2
SON,2017,1
PZE,2014,0
PZE,2015,2
PZE,2016,2
PZE,2017,2
ENTG,2014,2
ENTG,2015,1
ENTG,2016,2
ENTG,2017,2
HTBX,2014,0
HTBX,2015,0
HTBX,2016,0
HTBX,2017,0
IBOC,2014,1
IBOC,2015,1
IBOC,2016,2
IBOC,2017,1
JNPR,2014,1
JNPR,2015,2
JNPR,2016,1
JNPR,2017,0
BGCP,2014,2
BGCP,2015,2
BGCP,2016,2
BGCP,2017,2
OEC,2014,1
OEC,2015,0
OEC,2016,2
OEC,2017,2
STML,2014,0
STML,2015,0
STML,2016,2
STML,2017,2
HMG,2014,0
HMG,2015,1
HMG,2016,1
HMG,2017,1
INFY,2014,2
INFY,2015,1
INFY,2016,1
INFY,2017,1
NAT,2014,2
NAT,2015,2
NAT,2016,0
NAT,2017,0
HIW,2014,2
HIW,2015,1
HIW,2016,2
HIW,2017,1
MCC,2014,0
MCC,2015,1
MCC,2016,2
MCC,2017,0
WBS,2014,1
WBS,2015,2
WBS,2016,2
WBS,2017,1
PSTB,2014,1
PSTB,2015,1
PSTB,2016,2
PSTB,2017,2
CLB,2014,0
CLB,2015,1
CLB,2016,2
CLB,2017,0
CIR,2014,0
CIR,2015,0
CIR,2016,2
CIR,2017,0
ZIOP,2014,2
ZIOP,2015,2
ZIOP,2016,0
ZIOP,2017,0
FMC,2014,0
FMC,2015,0
FMC,2016,2
FMC,2017,2
BSAC,2014,0
BSAC,2015,1
BSAC,2016,2
BSAC,2017,2
MTSL,2014,0
MTSL,2015,0
MTSL,2016,2
MTSL,2017,0
GTY,2014,1
GTY,2015,1
GTY,2016,2
GTY,2017,2
FMBI,2014,1
FMBI,2015,2
FMBI,2016,2
FMBI,2017,0
DNN,2014,0
DNN,2015,0
DNN,2016,1
DNN,2017,1
RMAX,2014,1
RMAX,2015,2
RMAX,2016,2
RMAX,2017,1
OFS,2014,1
OFS,2015,2
OFS,2016,2
OFS,2017,1
TMHC,2014,0
TMHC,2015,0
TMHC,2016,2
TMHC,2017,2
NOAH,2014,2
NOAH,2015,2
NOAH,2016,0
NOAH,2017,2
FAC,2014,2
FAC,2015,1
FAC,2016,0
FAC,2017,2
AMFW,2014,0
AMFW,2015,0
AMFW,2016,1
AMFW,2017,2
PCMI,2014,1
PCMI,2015,1
PCMI,2016,2
PCMI,2017,0
AMBC,2014,1
AMBC,2015,0
AMBC,2016,2
AMBC,2017,0
LFVN,2014,0
LFVN,2015,1
LFVN,2016,0
LFVN,2017,0
MTSI,2014,2
MTSI,2015,2
MTSI,2016,2
MTSI,2017,0
VVUS,2014,0
VVUS,2015,0
VVUS,2016,1
VVUS,2017,0
IRT,2014,2
IRT,2015,0
IRT,2016,2
IRT,2017,2
CHA,2014,2
CHA,2015,0
CHA,2016,1
CHA,2017,1
FONR,2014,0
FONR,2015,2
FONR,2016,2
FONR,2017,2
JASN,2014,1
JASN,2015,0
JASN,2016,0
JASN,2017,2
SSW,2014,0
SSW,2015,1
SSW,2016,0
SSW,2017,0
VTR,2014,2
VTR,2015,1
VTR,2016,2
VTR,2017,1
IFON,2014,0
IFON,2015,2
IFON,2016,0
IFON,2017,0
PME,2014,1
PME,2015,0
PME,2016,2
PME,2017,2
NTGR,2014,1
NTGR,2015,2
NTGR,2016,2
NTGR,2017,1
CTRE,2014,1
CTRE,2015,1
CTRE,2016,2
CTRE,2017,2
PPHMP,2014,1
PPHMP,2015,2
PPHMP,2016,1
PPHMP,2017,2
TEN,2014,1
TEN,2015,0
TEN,2016,2
TEN,2017,0
CSIQ,2014,0
CSIQ,2015,2
CSIQ,2016,0
CSIQ,2017,2
MMS,2014,2
MMS,2015,1
MMS,2016,1
MMS,2017,2
STRS,2014,0
STRS,2015,2
STRS,2016,2
STRS,2017,0
PEI,2014,2
PEI,2015,1
PEI,2016,1
PEI,2017,0
RUBI,2014,0
RUBI,2015,1
RUBI,2016,0
RUBI,2017,0
PAR,2014,2
PAR,2015,2
PAR,2016,0
PAR,2017,2
BBDO,2014,1
BBDO,2015,0
BBDO,2016,2
BBDO,2017,2
ITT,2014,1
ITT,2015,1
ITT,2016,1
ITT,2017,2
PPL,2014,2
PPL,2015,1
PPL,2016,1
PPL,2017,1
LEU,2014,0
LEU,2015,0
LEU,2016,2
LEU,2017,0
RCII,2014,2
RCII,2015,0
RCII,2016,0
RCII,2017,1
HBMD,2014,2
HBMD,2015,2
HBMD,2016,2
HBMD,2017,2
WSTG,2014,2
WSTG,2015,1
WSTG,2016,1
WSTG,2017,0
CDTI,2014,2
CDTI,2015,0
CDTI,2016,0
CDTI,2017,0
SAVE,2014,2
SAVE,2015,0
SAVE,2016,2
SAVE,2017,0
RFP,2014,1
RFP,2015,0
RFP,2016,0
RFP,2017,2
FITB,2014,1
FITB,2015,1
FITB,2016,2
FITB,2017,1
DTE,2014,2
DTE,2015,1
DTE,2016,2
DTE,2017,2
TFSL,2014,2
TFSL,2015,2
TFSL,2016,1
TFSL,2017,0
TREC,2014,2
TREC,2015,0
TREC,2016,2
TREC,2017,0
UEPS,2014,2
UEPS,2015,2
UEPS,2016,0
UEPS,2017,0
CW,2014,2
CW,2015,1
CW,2016,2
CW,2017,2
RESI,2014,0
RESI,2015,0
RESI,2016,1
RESI,2017,1
IMUC,2014,0
IMUC,2015,0
IMUC,2016,0
IMUC,2017,0
KOPN,2014,0
KOPN,2015,0
KOPN,2016,1
KOPN,2017,1
DGICA,2014,1
DGICA,2015,1
DGICA,2016,2
DGICA,2017,1
RSPP,2014,2
RSPP,2015,1
RSPP,2016,2
RSPP,2017,0
NFLX,2014,1
NFLX,2015,2
NFLX,2016,2
NFLX,2017,2
HMC,2014,0
